Seal ID	Survival	Tagloss	Sex 	Black Mass	Wean Mass	Brand
37	11100100110000	222UU2UU22UUUU	0	41		N
38	10000000000000	2UUUUUUUUUUUUU	0			N
40	10000000000000	2UUUUUUUUUUUUU	0			N
43	10000000000000	2UUUUUUUUUUUUU	0			N
44	10000000000000	2UUUUUUUUUUUUU	1			N
46	10000000000000	2UUUUUUUUUUUUU	1			N
47	10000000000000	2UUUUUUUUUUUUU	0			N
48	10000000000000	2UUUUUUUUUUUUU	1			N
50	10000000000000	2UUUUUUUUUUUUU	0			N
51	10000000000000	2UUUUUUUUUUUUU	1		103	N
52	10000000000000	2UUUUUUUUUUUUU	0	38	105	N
53	10100000000000	2U2UUUUUUUUUUU	0			N
54	10000000000000	2UUUUUUUUUUUUU	1			N
55	10000000000000	2UUUUUUUUUUUUU	0		69	N
56	11000000000000	22UUUUUUUUUUUU	0			N
57	11000000000000	22UUUUUUUUUUUU	0			N
58	11000000000000	22UUUUUUUUUUUU	0			N
59	10000000101100	2UUUUUUU1U11UU	0			N
60	10000000000000	2UUUUUUUUUUUUU	1		91	N
61	10001000000000	2UUU2UUUUUUUUU	0		92	N
62	10000000000000	2UUUUUUUUUUUUU	0			N
63	10000000000000	2UUUUUUUUUUUUU	0	38		N
68	10000000000000	2UUUUUUUUUUUUU	0		74	N
69	10000000000000	2UUUUUUUUUUUUU	1			N
70	10000000000000	2UUUUUUUUUUUUU	0			N
71	10000000000000	2UUUUUUUUUUUUU	0	30		N
72	10000000000000	2UUUUUUUUUUUUU	0			N
73	10000100000000	2UUUU2UUUUUUUU	0			N
74	10000101110000	2UUUU1U111UUUU	1			N
75	10001000000000	2UUU2UUUUUUUUU	1		155	N
76	10000000000000	2UUUUUUUUUUUUU	0			N
77	10000000000000	2UUUUUUUUUUUUU	0			N
78	10000000000000	2UUUUUUUUUUUUU	0			N
79	10000000000000	2UUUUUUUUUUUUU	0			N
94	10000000000000	2UUUUUUUUUUUUU	1			N
95	10000000000000	2UUUUUUUUUUUUU	0			N
96	11101000000000	221U1UUUUUUUUU	1		79	N
97	10000000000000	2UUUUUUUUUUUUU	0			N
98	10000000000000	2UUUUUUUUUUUUU	1			N
99	10000000000000	2UUUUUUUUUUUUU	0			N
100	11000000000000	22UUUUUUUUUUUU	0			N
101	10000000000000	2UUUUUUUUUUUUU	1			N
102	10000000000000	2UUUUUUUUUUUUU	0			N
103	10000000000000	2UUUUUUUUUUUUU	1			N
105	10000000000000	2UUUUUUUUUUUUU	0			N
106	10000000000000	2UUUUUUUUUUUUU	1		100	N
108	10000000000000	2UUUUUUUUUUUUU	1			N
109	10000000000100	2UUUUUUUUUU1UU	1	42	116	N
110	10000000000000	2UUUUUUUUUUUUU	0	37		N
111	10000000000000	2UUUUUUUUUUUUU	1			N
112	10000000000000	2UUUUUUUUUUUUU	1			N
113	10000000000000	2UUUUUUUUUUUUU	1			N
114	10000000000000	2UUUUUUUUUUUUU	0			N
116	10000000000000	2UUUUUUUUUUUUU	0			N
117	10000000000000	2UUUUUUUUUUUUU	1			N
118	10000000000000	2UUUUUUUUUUUUU	1			N
119	10000000000000	2UUUUUUUUUUUUU	0		121	N
120	10000000000000	2UUUUUUUUUUUUU	1			N
121	10000000000000	2UUUUUUUUUUUUU	0			N
122	11000000000000	22UUUUUUUUUUUU	0			N
123	10000000000000	2UUUUUUUUUUUUU	0		101	N
124	11000000000000	22UUUUUUUUUUUU	0	43	99	N
127	10000000000000	2UUUUUUUUUUUUU	0			N
128	10000000000000	2UUUUUUUUUUUUU	1			N
129	10000000000000	2UUUUUUUUUUUUU	0			N
130	10000000000000	2UUUUUUUUUUUUU	0	32	55	N
133	10100000000000	2U2UUUUUUUUUUU	1			N
134	11100000000000	222UUUUUUUUUUU	0			N
135	10000000000000	2UUUUUUUUUUUUU	0		132	N
136	10000000000000	2UUUUUUUUUUUUU	1			N
139	10000000000000	2UUUUUUUUUUUUU	1			N
140	10000000000000	2UUUUUUUUUUUUU	1		114	N
141	10000000000000	2UUUUUUUUUUUUU	0			N
142	10100000001000	2U2UUUUUUU1UUU	0			N
146	10000000000000	2UUUUUUUUUUUUU	0		73	N
147	10000000000000	2UUUUUUUUUUUUU	0	48	104	N
148	10000000001000	2UUUUUUUUU1UUU	0	49	101	N
149	10000000000000	2UUUUUUUUUUUUU	0		65	N
150	10000000000000	2UUUUUUUUUUUUU	1			N
154	11000000000000	22UUUUUUUUUUUU	0			N
155	10000000000000	2UUUUUUUUUUUUU	0			N
161	10000000000000	2UUUUUUUUUUUUU	1			N
170	10000000000000	2UUUUUUUUUUUUU	1	43		N
171	11100100000000	222UU1UUUUUUUU	1			N
180	10000000000000	2UUUUUUUUUUUUU	0	24	61	N
187	10000000000000	2UUUUUUUUUUUUU	0	40		N
192	10000000000000	2UUUUUUUUUUUUU	1			N
220	10000000000000	2UUUUUUUUUUUUU	0			N
221	10100000000000	2U1UUUUUUUUUUU	1	45	126	N
235	10000000000000	2UUUUUUUUUUUUU	1	53	111	N
238	10000000000000	2UUUUUUUUUUUUU	0			N
239	11000000000000	22UUUUUUUUUUUU	0			N
